year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,1,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",14.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,648.00,0.00,647.00,1.00,0.00,0.00
2023,1,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",82.00,10.00,6.06,1.72,0.47,0.00,1.74,0.00,0.00,1800.00,1393.00,272.00,56.00,0.00,79.00
2023,1,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",60.00,8.00,3.54,1.59,2.71,0.00,0.16,2.00,4.00,484.00,176.00,184.00,113.00,0.00,11.00
2023,1,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",26.00,6.00,3.40,1.20,0.64,0.00,0.76,0.00,0.00,395.00,119.00,167.00,30.00,0.00,79.00
2023,1,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",109.00,30.00,8.08,0.61,9.80,0.00,11.52,3.00,0.00,1591.00,402.00,22.00,333.00,0.00,834.00
2023,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2095.00,367.00,68.04,24.22,99.71,0.00,175.03,13.00,3.00,35193.00,9465.00,3036.00,4307.00,0.00,18385.00
2023,1,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",30.00,6.00,2.21,0.00,1.79,0.00,2.00,2.00,0.00,478.00,227.00,0.00,134.00,0.00,117.00
2023,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",43.00,11.00,1.47,0.00,9.53,0.00,0.00,0.00,0.00,539.00,288.00,0.00,251.00,0.00,0.00
2023,1,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",79.00,10.00,6.55,0.00,1.55,0.00,1.90,1.00,0.00,508.00,326.00,0.00,69.00,0.00,113.00
2023,1,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",62.00,5.00,3.05,0.74,0.54,0.00,0.67,0.00,0.00,590.00,276.00,166.00,99.00,0.00,49.00
2023,1,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",49.00,10.00,3.18,0.00,2.82,0.00,4.00,1.00,0.00,882.00,480.00,0.00,162.00,0.00,240.00
2023,1,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",50.00,13.00,2.41,0.99,5.57,0.00,4.04,1.00,0.00,1276.00,119.00,667.00,208.00,0.00,282.00
2023,1,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",151.00,39.00,6.15,1.88,7.78,0.00,23.18,13.00,0.00,2886.00,657.00,550.00,244.00,0.00,1435.00
2023,1,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",36.00,13.00,2.79,0.00,5.60,0.00,4.60,0.00,0.00,770.00,163.00,0.00,217.00,0.00,390.00
2023,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",72.00,19.00,7.18,0.85,3.25,0.00,7.72,1.00,1.00,1993.00,479.00,724.00,298.00,0.00,492.00
2023,1,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",62.00,8.00,4.07,0.26,1.18,0.00,2.49,0.00,0.00,834.00,280.00,29.00,113.00,0.00,412.00
